School Name,Division
South Lyon East,1
South Lyon,1
Ann Arbor Skyline,1
Dexter,1
Brighton,1
Westland John Glenn,1
Wayne Memorial,1
Belleville,1
Livonia Churchill,1
Romulus,1
Northville,1
Novi,1
Salem,1
Plymouth,1
Detroit Catholic Central,1
Canton,1
Ypsilanti Lincoln,1
Ypsilanti Community,1
Saline,1
Ann Arbor Pioneer,1
Ann Arbor Huron,1
Negaunee,2
Houghton,2
Escanaba,2
Gladstone,2
Kingsford,2
Kingsley,2
Kalkaska,2
Grayling,2
Cheboygan,2
Boyne City,2
Big Rapids,2
Ludington,2
Remus Chippewa Hills,2
Reed City,2
Hart,2
Cadillac,2
Ogemaw Heights,2
Gladwin,2
Midland Bullock Creek,2
Clare,2
Standish-Sterling,2
Detroit Academy of the Americas,3
Detroit Cristo Rey,3
Hope of Detroit Academy,3
Hamtramck Oakland International Academy,3
Detroit Edison,3
Detroit Central,3
Royal Oak Shrine Catholic,3
Clawson,3
Madison Heights Bishop Foley,3
Arts & Technology Academy of Pontiac,3
Rochester Hills Lutheran Northwest,3
Clinton Township Clintondale,3
Kimball Landmark Academy,3
Mount Clemens,3
Memphis,3
New Haven,3
Capac,3
Center Line Prep Academy,3
Detroit Jalen Rose Leadership Academy,3
Madison Heights Madison,3
Detroit Pershing,3
Detroit Loyola,3
Grosse Pointe Woods University Liggett,3
Ontonagon,4
Ewen-Trout Creek,4
Wakefield-Marenisco,4
Bessemer,4
Ironwood,4
Baraga,4
Chassell,4
L'Anse,4
Dollar Bay,4
Painesdale Jeffers,4
Lake Linden-Hubbell,4
Republic-Michigamme,4
Felch North Dickinson,4
Norway,4
Crystal Falls Forest Park,4
Watersmeet,4
Rock Mid Peninsula,4
Hannahville Nah Tah Wahsh,4
Stephenson,4
Carney-Nadeau,4
Powers North Central,4
Redford Thurston,1
Dearborn Heights Crestwood,1
Dearborn,1
Dearborn Edsel Ford,1
Livonia Franklin,1
Wyandotte Roosevelt,1
Southgate Anderson,1
Taylor,1
Allen Park,1
Lincoln Park,1
Trenton,1
Monroe,1
