teamName,teamId,season_year,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_opponents,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_T,regular_season_opponents,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_opponents,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_opponents,away_win_pct,away_run_diff_total,away_run_diff_mean
Addison,311187,2012,20,4.45,3.5,89.0,20,4.45,4.0,89.0,12.0,10.0,8.0,"[311052.0, 311052.0, 311065.0, 311065.0, 311546.0, 311546.0, 311300.0, 311300.0, 311149.0, 311149.0, 377469.0, 311044.0, 311484.0, 311484.0, 311282.0, 311282.0, 311142.0, 311142.0, 311197.0, 311052.0, 311118.0, 311197.0, 311241.0, 311241.0, 311571.0, 311571.0, 311215.0, 311503.0, 311503.0, 311142.0]",0.4,0.0,0.0,,,,,,,,,,,,,,13.0,5.461538461538462,4.0,71.0,13.0,3.6153846153846154,3.0,47.0,7.0,5.0,6.0,"[311052.0, 311052.0, 311065.0, 311065.0, 311546.0, 311546.0, 311300.0, 311300.0, 311149.0, 311149.0, 311044.0, 311282.0, 311282.0, 311142.0, 311142.0, 311571.0, 311571.0, 311215.0]",0.46153846153846156,24.0,1.8461538461538463,7.0,2.5714285714285716,2.0,18.0,7.0,6.0,5.0,42.0,5.0,5.0,2.0,"[377469.0, 311484.0, 311484.0, 311197.0, 311052.0, 311118.0, 311197.0, 311241.0, 311241.0, 311503.0, 311503.0, 311142.0]",0.2857142857142857,-24.0,-3.4285714285714284
Adrian,311118,2012,28,6.285714285714286,5.5,176.0,28,6.107142857142857,4.5,171.0,15.0,2.0,13.0,"[311317.0, 311317.0, 311256.0, 311256.0, 311434.0, 311434.0, 311095.0, 311095.0, 311134.0, 311474.0, 311474.0, 311501.0, 311501.0, 311061.0, 311061.0, 311159.0, 311235.0, 311235.0, 311077.0, 311077.0, 311098.0, 311098.0, 311464.0, 311464.0, 311491.0, 311491.0, 311206.0, 311206.0, 311231.0, 311044.0]",0.4642857142857143,5.0,0.17857142857142883,,,,,,,,,,,,,,14.0,6.571428571428571,6.0,92.0,14.0,6.714285714285714,6.0,94.0,7.0,1.0,7.0,"[311256.0, 311256.0, 311095.0, 311095.0, 311134.0, 311077.0, 311077.0, 311098.0, 311098.0, 311491.0, 311491.0, 311206.0, 311206.0, 311231.0, 311044.0]",0.5,-2.0,-0.14285714285714324,14.0,6.0,4.0,84.0,14.0,5.5,4.0,77.0,8.0,1.0,6.0,"[311317.0, 311317.0, 311434.0, 311434.0, 311474.0, 311474.0, 311501.0, 311501.0, 311061.0, 311061.0, 311159.0, 311235.0, 311235.0, 311464.0, 311464.0]",0.42857142857142855,7.0,0.5
Adrian Lenawee Christian,311609,2012,5,8.6,8.0,43.0,5,6.4,7.0,32.0,2.0,7.0,3.0,"[311365.0, 311365.0, 311518.0, 311104.0, 311484.0, 311470.0, 311044.0, 311044.0, 311080.0, 311237.0, 311335.0, 311065.0]",0.6,11.0,2.1999999999999993,,,,,,,,,,,,,,2.0,7.0,7.0,14.0,2.0,7.0,7.0,14.0,1.0,2.0,1.0,"[311365.0, 311365.0, 311104.0, 311335.0]",0.5,0.0,0.0,3.0,9.666666666666666,14.0,29.0,3.0,6.0,3.0,18.0,1.0,5.0,2.0,"[311518.0, 311484.0, 311470.0, 311044.0, 311044.0, 311080.0, 311237.0, 311065.0]",0.6666666666666666,11.0,3.666666666666666
Adrian Madison,311065,2012,9,5.111111111111111,3.0,46.0,9,5.222222222222222,4.0,47.0,5.0,12.0,4.0,"[311484.0, 311187.0, 311187.0, 311087.0, 311518.0, 311060.0, 311335.0, 311197.0, 311237.0, 311087.0, 376727.0, 311104.0, 311052.0, 311518.0, 311060.0, 311197.0, 311237.0, 311087.0, 376727.0, 311104.0, 311609.0]",0.4444444444444444,-1.0,-0.1111111111111116,,,,,,,,,,,,,,4.0,4.0,3.0,16.0,4.0,6.5,5.5,26.0,3.0,5.0,1.0,"[311484.0, 311060.0, 311237.0, 376727.0, 311104.0, 311518.0, 311197.0, 311087.0, 311609.0]",0.25,-10.0,-2.5,5.0,6.0,4.0,30.0,5.0,4.2,4.0,21.0,2.0,7.0,3.0,"[311187.0, 311187.0, 311087.0, 311518.0, 311335.0, 311197.0, 311087.0, 311052.0, 311060.0, 311237.0, 376727.0, 311104.0]",0.6,9.0,1.7999999999999998
Akron-Fairgrove,311447,2012,13,3.230769230769231,2.0,42.0,13,9.23076923076923,8.0,120.0,10.0,5.0,3.0,"[311536.0, 311536.0, 311188.0, 311188.0, 311211.0, 311211.0, 311306.0, 311306.0, 311212.0, 311212.0, 311559.0, 311559.0, 311593.0, 311593.0, 311301.0, 311301.0, 311634.0, 311634.0]",0.23076923076923078,-78.0,-5.999999999999999,,,,,,,,,,,,,,4.0,1.25,1.0,5.0,4.0,11.5,12.5,46.0,4.0,4.0,0.0,"[311536.0, 311536.0, 311188.0, 311188.0, 311211.0, 311211.0, 311212.0, 311212.0]",0.0,-41.0,-10.25,9.0,4.111111111111111,2.0,37.0,9.0,8.222222222222221,6.0,74.0,6.0,1.0,3.0,"[311306.0, 311306.0, 311559.0, 311559.0, 311593.0, 311593.0, 311301.0, 311301.0, 311634.0, 311634.0]",0.3333333333333333,-37.0,-4.111111111111111
Alanson ,311374,2012,0,,,0.0,0,,,0.0,0.0,4.0,0.0,"[311575.0, 311238.0, 311287.0, 311453.0]",,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,[311238.0],,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,3.0,0.0,"[311575.0, 311287.0, 311453.0]",,0.0,
Algonac,311062,2012,27,4.703703703703703,4.0,127.0,27,5.37037037037037,5.0,145.0,13.0,2.0,14.0,"[311258.0, 311258.0, 311176.0, 311176.0, 311306.0, 311306.0, 311326.0, 311326.0, 311015.0, 311015.0, 311015.0, 311177.0, 311177.0, 311056.0, 311056.0, 311285.0, 311285.0, 311023.0, 311393.0, 311393.0, 311168.0, 311168.0, 311519.0, 311519.0, 311123.0, 311123.0, 311079.0, 311079.0, 311049.0]",0.5185185185185185,-18.0,-0.666666666666667,,,,,,,,,,,,,,11.0,5.0,5.0,55.0,11.0,4.0,1.0,44.0,4.0,0.0,7.0,"[311258.0, 311258.0, 311015.0, 311015.0, 311015.0, 311393.0, 311393.0, 311168.0, 311168.0, 311079.0, 311079.0]",0.6363636363636364,11.0,1.0,16.0,4.5,4.0,72.0,16.0,6.3125,6.5,101.0,9.0,2.0,7.0,"[311176.0, 311176.0, 311306.0, 311306.0, 311326.0, 311326.0, 311177.0, 311177.0, 311056.0, 311056.0, 311285.0, 311285.0, 311023.0, 311519.0, 311519.0, 311123.0, 311123.0, 311049.0]",0.4375,-29.0,-1.8125
Allegan,311115,2012,27,3.962962962962963,4.0,107.0,27,6.074074074074074,4.0,164.0,14.0,2.0,13.0,"[311304.0, 311477.0, 311586.0, 311051.0, 311041.0, 311041.0, 311371.0, 311371.0, 311058.0, 311058.0, 311170.0, 311170.0, 311270.0, 311270.0, 311293.0, 311293.0, 311162.0, 311522.0, 311522.0, 311130.0, 311041.0, 311342.0, 311342.0, 311024.0, 311024.0, 311131.0, 311487.0, 311487.0, 311322.0]",0.48148148148148145,-57.0,-2.1111111111111116,,,,,,,,,,,,,,14.0,5.357142857142857,5.0,75.0,14.0,4.5,3.5,63.0,5.0,0.0,9.0,"[311586.0, 311051.0, 311041.0, 311041.0, 311170.0, 311170.0, 311270.0, 311270.0, 311293.0, 311293.0, 311130.0, 311024.0, 311024.0, 311322.0]",0.6428571428571429,12.0,0.8571428571428568,13.0,2.4615384615384617,2.0,32.0,13.0,7.769230769230769,8.0,101.0,9.0,2.0,4.0,"[311304.0, 311477.0, 311371.0, 311371.0, 311058.0, 311058.0, 311162.0, 311522.0, 311522.0, 311041.0, 311342.0, 311342.0, 311131.0, 311487.0, 311487.0]",0.3076923076923077,-69.0,-5.3076923076923075
Allen Park,311359,2012,13,6.0,5.0,78.0,13,4.615384615384615,5.0,60.0,4.0,3.0,9.0,"[311501.0, 311059.0, 311563.0, 311563.0, 311061.0, 311061.0, 311077.0, 311077.0, 311581.0, 311395.0, 311395.0, 311573.0, 311118.0, 311581.0, 311235.0, 311235.0]",0.6923076923076923,18.0,1.384615384615385,,,,,,,,,,,,,,6.0,7.666666666666667,7.0,46.0,6.0,4.666666666666667,5.5,28.0,1.0,0.0,5.0,"[311501.0, 311059.0, 311077.0, 311077.0, 311573.0, 311581.0]",0.8333333333333334,18.0,3.0,7.0,4.571428571428571,5.0,32.0,7.0,4.571428571428571,5.0,32.0,3.0,3.0,4.0,"[311563.0, 311563.0, 311061.0, 311061.0, 311581.0, 311395.0, 311395.0, 311118.0, 311235.0, 311235.0]",0.5714285714285714,0.0,0.0
Allen Park Cabrini,311111,2012,25,5.16,4.0,129.0,25,5.84,5.0,146.0,10.0,7.0,13.0,"[311059.0, 311213.0, 311505.0, 311505.0, 311340.0, 311598.0, 311598.0, 311340.0, 311616.0, 311616.0, 311049.0, 311049.0, 311419.0, 311419.0, 311288.0, 311288.0, 311049.0, 311049.0, 311598.0, 311598.0, 311616.0, 311616.0, 311098.0, 311419.0, 311419.0, 311294.0, 311294.0, 311288.0, 311288.0, 311314.0]",0.52,-17.0,-0.6799999999999997,,,,,,,,,,,,,,15.0,4.533333333333333,4.0,68.0,15.0,6.266666666666667,7.0,94.0,8.0,4.0,6.0,"[311059.0, 311213.0, 311505.0, 311505.0, 311340.0, 311616.0, 311616.0, 311049.0, 311049.0, 311419.0, 311419.0, 311598.0, 311598.0, 311294.0, 311294.0, 311288.0, 311288.0, 311314.0]",0.4,-26.0,-1.7333333333333334,10.0,6.1,4.5,61.0,10.0,5.2,4.5,52.0,2.0,3.0,7.0,"[311340.0, 311598.0, 311598.0, 311288.0, 311288.0, 311049.0, 311049.0, 311616.0, 311616.0, 311098.0, 311419.0, 311419.0]",0.7,9.0,0.8999999999999995
