SeasonYear,SportName,StartDate,IsPostSeason,Notes,OT,ScoreNotes,HostSchoolId,HostScore,HostTeamName,AwaySchoolId,AwayScore,AwayTeamName,ContestNotes,PostSeasonLevel,TournamentNumber,HostResult,AwayResult
2023,Baseball,2024-03-21T16:30:00,False,,5 INN,,4010,0,Auburn Hills Avondale,4189,10,Madison Heights Lamphere,,,,L,W
2023,Baseball,2024-03-21T16:00:00,False,,,,4517,8,Litchfield,4369,5,Athens,,,,W,L
2023,Baseball,2024-03-21T16:30:00,False,,,,3895,6,Madison Heights Bishop Foley,4471,9,St Clair Shores Lake Shore,,,,L,W
2023,Baseball,2024-03-21T16:00:00,False,,5 INN,,4050,10,Plymouth,4268,0,Flat Rock,,,,W,L
2023,Baseball,2024-03-21T18:00:00,False,,6 INN,,4050,11,Plymouth,4268,1,Flat Rock,,,,W,L
2023,Baseball,2024-03-25T17:00:00,False,,6 INN,,3976,12,Allen Park Cabrini,7349,1,Detroit Cristo Rey,,,,W,L
2023,Baseball,2024-03-25T16:00:00,False,,,,4282,9,Bangor,4319,12,Fennville,,,,L,W
2023,Baseball,2024-03-25T16:00:00,False,,,,3990,8,Bloomfield Hills Brother Rice,4630,1,Macomb Dakota,,,,W,L
2023,Baseball,2024-03-25T18:00:00,False,,,,3990,4,Bloomfield Hills Brother Rice,4630,2,Macomb Dakota,,,,W,L
2023,Baseball,2024-03-25T16:30:00,False,,5 INN,,4203,11,Caledonia,4315,0,Middleville Thornapple Kellogg,,,,W,L
2023,Baseball,2024-03-25T16:15:00,False,,,,3952,4,Comstock Park,4098,1,Kent City,,,,W,L
2023,Baseball,2024-03-25T16:00:00,False,,5 INN,,4208,0,Dowagiac,4035,12,St Joseph,,,,L,W
2023,Baseball,2024-03-25T16:30:00,False,,,,4351,1,East Kentwood,4463,11,Grand Rapids Forest Hills Northern,,,,L,W
2023,Baseball,2024-03-25T16:00:00,False,,,,4180,1,Grand Haven,4662,4,Zeeland West,,,,L,W
2023,Baseball,2024-03-25T18:00:00,False,,,,4180,2,Grand Haven,4662,0,Zeeland West,,,,W,L
2023,Baseball,2024-03-25T16:15:00,False,,,,4183,7,Grand Rapids Northview,4368,1,Sparta,,,,W,L
2023,Baseball,2024-03-25T19:00:00,False,,,,4160,9,Grand Rapids South Christian,4473,15,Grand Rapids Christian,,,,L,W
2023,Baseball,2024-03-25T16:00:00,False,,,,4426,3,Grandville,4311,4,Grand Rapids Forest Hills Central,,,,L,W
