HostSchoolId,HostTeamName,HostScore,HostRecord,AwaySchoolId,AwayTeamName,AwayScore,AwayRecord,OT,ContestName,StartDate,SeasonYear,ContestType,IsPostSeason,PostSeasonLevel,TournamentNumber,TournamentName,PostSeasonInfo,Notes
4237,Royal Oak Shrine Catholic,,0-1,4238,Ypsilanti Willow Run,,2-4-1,,,2009-11-07T18:30:00,2009,1,False,,,,,
4238,Ypsilanti Willow Run,,2-4-1,0,To Be Determined,,,,,2009-11-13T20:00:00,2009,1,False,,,,,
4209,Dearborn Edsel Ford,4,7-15-1,4552,Taylor Truman,3,2-3,,,2009-11-17T19:30:00,2009,1,False,,,,,
0,,,,0,To Be Determined,,,,,2009-11-18T17:00:00,2009,1,False,,,,,
4288,Allen Park,2,13-12,4427,Saline,3,4-5,,,2009-11-18T20:00:00,2009,1,False,,,,,
4579,Ann Arbor Father Gabriel Richard,3,1-0-1,3962,Dexter,3,13-11-1,,,2009-11-18T18:30:00,2009,1,False,,,,,
4453,Lapeer West,1,0-12,3991,Flushing,7,4-2,,,2009-11-18T19:30:00,2009,1,False,,,,,
4617,Pontiac Notre Dame Prep,0,1-11,4079,Davison,5,17-8-1,,,2009-11-18T19:30:00,2009,1,False,,,,,
3923,Troy,5,13-9-3,4373,Romeo,3,2-3,,,2009-11-18T18:30:00,2009,1,False,,,,,
4565,Wayland Union,3,4-5,4353,Grand Rapids West Catholic,8,2-0,,,2009-11-18T19:30:00,2009,1,False,,,,,
4238,Ypsilanti Willow Run,2,2-4-1,4140,Monroe,6,3-5,,,2009-11-18T18:00:00,2009,1,False,,,,,
3927,Bloomfield Hills Lahser,5,10-11-2,4010,Auburn Hills Avondale,2,3-13-1,,,2009-11-19T20:00:00,2009,1,False,,,,,
0,,,,4528,Gibraltar Carlson,0,4-4-2,,,2009-11-20T19:00:00,2009,1,False,,,,,
0,,,,4202,Riverview Gabriel Richard,3,5-1,,,2009-11-20T19:00:00,2009,1,False,,,,,
4359,Benzie Central,1,6-17,3982,Gladwin,7,2-4,,,2009-11-20T19:00:00,2009,1,False,,,,,
4184,Cheboygan,1,12-7,4016,Escanaba,2,2-3,OT,,2009-11-20T14:30:00,2009,1,False,,,,,
4461,Fraser,5,2-1,3923,Troy,2,13-9-3,,,2009-11-20T20:30:00,2009,1,False,,,,,
4527,Holt,4,0-3,4030,Sterling Heights Stevenson,8,18-6,,,2009-11-20T17:30:00,2009,1,False,,,,,
4166,Lake Orion,3,12-13-1,4399,South Lyon,6,2-0,,Metro Invitational,2009-11-20T17:30:00,2009,1,False,,,,,
4337,Northville,3,2-1,4441,Rochester Adams,2,15-10-2,OT,,2009-11-20T20:30:00,2009,1,False,,,,,
4207,Pinckney,10,15-7,4026,Jackson,2,0-4,,,2009-11-20T18:30:00,2009,1,False,,,,,
4287,West Bloomfield,4,11-8-4,3947,Troy Athens,10,9-0-1,,,2009-11-20T19:30:00,2009,1,False,,,,,
4238,Ypsilanti Willow Run,10,2-4-1,3895,Madison Heights Bishop Foley,3,0-2,,,2009-11-20T18:00:00,2009,1,False,,,,,
0,,,,4230,Macomb L'Anse Creuse North,2,1-3-1,,,2009-11-21T20:30:00,2009,1,False,,,,,
0,,,,4509,Utica,2,1-3-1,,,2009-11-21T20:30:00,2009,1,False,,,,,
0,,,,4470,Oxford,8,4-2,,,2009-11-21T13:00:00,2009,1,False,,,,,
4134,Ann Arbor Pioneer,5,4-2,4209,Dearborn Edsel Ford,1,7-15-1,,,2009-11-21T17:30:00,2009,1,False,,,,,
4299,Bay City Central,9,3-1,4030,Sterling Heights Stevenson,1,18-6,,,2009-11-21T15:30:00,2009,1,False,,,,,
3927,Bloomfield Hills Lahser,1,10-11-2,4287,West Bloomfield,1,11-8-4,,,2009-11-21T19:00:00,2009,1,False,,,,,
4239,Detroit Catholic Central,2,27-1,3996,Orchard Lake St Mary's,1,18-4-1,,,2009-11-21T19:00:00,2009,1,False,,,,,
4247,Flint Kearsley,4,4-4,0,To Be Determined,,,,,2009-11-21T17:00:00,2009,1,False,,,,,
4393,Grand Rapids Catholic Central,1,2-4,4359,Benzie Central,9,6-17,,,2009-11-21T17:00:00,2009,1,False,,,,,
3897,Grosse Ile,4,5-2-1,3912,Chelsea,4,11-12-1,,,2009-11-21T19:30:00,2009,1,False,,,,,
4166,Lake Orion,2,12-13-1,4337,Northville,3,2-1,,Metro Invitational,2009-11-21T17:30:00,2009,1,False,,,,,
4453,Lapeer West,2,0-12,4184,Cheboygan,10,12-7,,,2009-11-21T10:30:00,2009,1,False,,,,,
4210,Livonia Churchill,,0-1,4393,Grand Rapids Catholic Central,,2-4,,,2009-11-21T13:00:00,2009,1,False,,,,,
3933,Novi,7,4-1,4441,Rochester Adams,1,15-10-2,,,2009-11-21T19:30:00,2009,1,False,,,,,
