match,score,mhsaa_name,mhsaa_id,nces_id,mhsaa_popular,mhsaa_proper,nces_proper
U of D Jesuit High School and Academy,100,,,,Detroit U of D Jesuit,U of D Jesuit HS,U of D Jesuit High School and Academy
brighton high school,100,brighton high school,3834,2.61E+11,Brighton,Brighton High School,Brighton High School
high school,90,ewen-trout creek high school,3835,2.62E+11,Ewen-Trout Creek,Ewen-Trout Creek High School,High School
actech high school,86,cherryhill school of performing arts,3836,2.64E+11,Inkster Cherryhill School of Performing Arts,Cherryhill School of Performing Arts,ACTech High School
roseville high school,100,roseville high school,3837,2.63E+11,Roseville,Roseville High School,Roseville High School
shepherd high school,100,shepherd high school,3838,2.63E+11,Shepherd,Shepherd High School,Shepherd High School
cass city jr and sr high school,95,cass city high school,3839,2.61E+11,Cass City,Cass City High School,Cass City Jr and Sr High School
windover high school,92,andover high school,3840,2.60E+11,Bloomfield Hills Andover,Andover High School,Windover High School
high school,90,roeper high school,3841,2.62E+11,Bloomfield Hills Roeper,Roeper High School,High School
high school,90,st francis high school,3842,2.62E+11,Traverse City St Francis,St Francis High School,High School
high school,90,east jordan high school,3843,2.62E+11,East Jordan,East Jordan High School,High School
corunna high school,100,corunna high school,3844,2.61E+11,Corunna,Corunna High School,Corunna High School
arts academy in the woods,100,arts academy in the woods,3845,2.60E+11,Fraser Arts Academy,Arts Academy in the Woods,Arts Academy in the Woods
coloma high school,92,coleman high school,3846,2.61E+11,Coleman,Coleman High School,Coloma High School
academy for business and technology high school,86,westside christian academy,3847,2.60E+11,Detroit Westside Christian,Westside Christian Academy,Academy for Business and Technology High School
high school,90,richmond high school,3848,2.62E+11,Richmond,Richmond High School,High School
maple valley jrsr high school,95,maple valley high school,3849,2.62E+11,Vermontville Maple Valley,Maple Valley High School,Maple Valley JrSr High School
hillsdale academy,100,hillsdale academy,3850,A9103494,Hillsdale Academy,Hillsdale Academy,Hillsdale Academy
cousino senior high school,95,cousino high school,3851,2.64E+11,Warren Cousino,Cousino High School,Cousino Senior High School
summit academy north high school,90,summit academy north,3852,2.60E+11,Romulus Summit Academy North,Summit Academy North,Summit Academy North High School
academic and career education academy,86,charlotte forten academy,3853,2.60E+11,Detroit Charlotte Forten Academy,Charlotte Forten Academy,Academic and Career Education Academy
fowlerville high school,91,walkerville high school,3854,2.61E+11,Walkerville,Walkerville High School,Fowlerville High School
madison high school,100,madison high school,3855,2.62E+11,Madison Heights Madison,Madison High School,Madison High School
academy for business and technology high school,86,west village academy north,3856,2.60E+11,Detroit West Village Academy,West Village Academy North,Academy for Business and Technology High School
forest area high school,91,forest park high school,3857,2.61E+11,Crystal Falls Forest Park,Forest Park High School,Forest Area High School
chandler park academy high school,90,chandler park academy,3858,2.60E+11,Harper Woods Chandler Park,Chandler Park Academy,Chandler Park Academy High School
academic and career education academy,86,academy of inkster,3859,2.60E+11,Inkster Academy,Academy of Inkster,Academic and Career Education Academy
university high school,95,university liggett high school,3860,2.61E+11,Grosse Pointe Woods University Liggett,University Liggett High School,University High School
saginaw arts and sciences academy,95,saginaw arts & sciences academy,3861,2.63E+11,Saginaw Arts & Sciences Academy,Saginaw Arts & Sciences Academy,Saginaw Arts and Sciences Academy
central high school,95,central academy high school,3862,2.61E+11,Ann Arbor Central Academy,Central Academy High School,Central High School
john glenn high school,100,john glenn high school,3863,2.60E+11,Bay City John Glenn,John Glenn High School,John Glenn High School
paw paw high school,100,paw paw high school,3864,2.63E+11,Paw Paw,Paw Paw High School,Paw Paw High School
high school,90,black river high school,3865,2.62E+11,Holland Black River,Black River High School,High School
bridgeport high school,100,bridgeport high school,3866,2.61E+11,Bridgeport,Bridgeport High School,Bridgeport High School
academic and career education academy,86,concord academy boyne,3867,2.60E+11,Boyne City Concord Academy,Concord Academy Boyne,Academic and Career Education Academy
coldwater high school,100,coldwater high school,3868,2.61E+11,Coldwater,Coldwater High School,Coldwater High School
southeastern high school,100,southeastern high school,3869,2.60E+11,Detroit Southeastern,Southeastern High School,Southeastern High School
kingsley area high school,100,kingsley area high school,3870,2.62E+11,Kingsley,Kingsley Area High School,Kingsley Area High School
lakeland high school,100,lakeland high school,3871,2.62E+11,White Lake Lakeland,Lakeland High School,Lakeland High School
high school,90,homer high school,3873,2.62E+11,Homer,Homer High School,High School
crossroads charter academy 712,95,crossroads charter academy,3874,2.60E+11,Big Rapids Crossroads Academy,Crossroads Charter Academy,Crossroads Charter Academy 712
laingsburg high school,100,laingsburg high school,3875,2.62E+11,Laingsburg,Laingsburg High School,Laingsburg High School
high school,90,bradford academy high school,3876,2.62E+11,Southfield Bradford Academy,Bradford Academy High School,High School
berrien springs high school,100,berrien springs high school,3877,2.61E+11,Berrien Springs,Berrien Springs High School,Berrien Springs High School
dewitt high school,100,dewitt high school,3878,2.61E+11,DeWitt,DeWitt High School,DeWitt High School
bad axe high school,100,bad axe high school,3879,2.60E+11,Bad Axe,Bad Axe High School,Bad Axe High School
fitzgerald senior high school,95,fitzgerald high school,3880,2.61E+11,Warren Fitzgerald,Fitzgerald High School,Fitzgerald Senior High School
academy for business and technology high school,86,academy of health & science,3881,2.60E+11,Academy of Health & Science,Academy of Health & Science,Academy for Business and Technology High School
everett high school,100,everett high school,3882,2.62E+11,Lansing Everett,Everett High School,Everett High School
high school,95,ubly high school,3883,2.62E+11,Ubly,Ubly High School,High School
wayne memorial high school,100,wayne memorial high school,3884,2.60E+11,Wayne Memorial,Wayne Memorial High School,Wayne Memorial High School
hamilton high school,100,hamilton high school,3885,2.62E+11,Hamilton,Hamilton High School,Hamilton High School
