School Name,u_school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9th,10th,11th,12th,demo_pct_American Indian,demo_pct_Asian,demo_pct_Black,demo_pct_Hispanic,demo_pct_Pacific Islander,demo_pct_White,demo_pct_Two_or_More,Male,Female,HS_ENROLL,Coed,Relig,Community_Type,Charter,Magnet,Relig_subtype,Title 1 School,Title 1 School Wide,type,Street Address,City,State,ZIP,PSS_COUNTY_NO,County FIPS,Locale,County Name
U of D Jesuit High School and Academy,,,,743,,,,,,,,,,,,,,,,,1,0,743,Male_Only,Catholic,City,No,No,Roman Catholic,No,No,private,8400 South Cambridge Avenue,Detroit,MI,48221,,,City:Large,
Academy Of The Sacred Heart,A0701317,,,99,,7.12,,,,,,,,0,3.3,7.92,3.3,0,80.52,4.95,,,,Coed,Catholic,Suburban,No,No,Roman Catholic,No,No,private,1250 KENSINGTON RD,BLOOMFIELD HILLS,MI,48304,26125,125,Suburb: Large,OAKLAND
Al-Ikhlas Training Academy,A1702031,,,97,,14.38,,,,,,,,,,,,,,,,,,Coed,Other Religious,City,No,No,Islamic,No,No,private,12555 MCDOUGALL ST,DETROIT,MI,48212,26163,163,City: Large,WAYNE
Algoma Christian School,2037436,,,56,,11.75,,,,,,,,0,4.25,4.78,1.59,0,89.36,0,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,14471 SPARTA AVE,KENT CITY,MI,49330,26081,81,Rural: Distant,KENT
All Saints Central Middle & High School,641077,,,62,,7.53,,,,,,,,1.81,2.72,0.9,22.72,0,70.9,0.9,,,,Coed,Catholic,City,No,No,Roman Catholic,No,No,private,217 S MONROE ST,BAY CITY,MI,48708,26017,17,City: Small,BAY
Andrews Academy,646315,,,263,,18.65,,,,,,,,0.76,13.68,17.49,16.73,0.38,50.95,0,,,,Coed,Other Religious,Town,No,No,Seventh Day Adventists,No,No,private,8833 GARLAND AVE,BERRIEN SPRINGS,MI,49104,26021,21,Town: Fringe,BERRIEN
Auburn Hills Christian School,1614075,,,55,,11.44,,,,,,,,0.69,0.69,10.48,3.49,1.39,80.41,2.79,,,,Coed,Other Religious,Suburban,No,No,Christian (no denomination specified),No,No,private,PO BOX 4386,AUBURN HILLS,MI,48321,26125,125,Suburb: Large,OAKLAND
Austin Catholic High School,A1301673,,,81,,7.16,,,,,,,,2.46,3.7,1.23,0,1.23,82.71,8.64,,,,Coed,Catholic,Suburban,No,No,Roman Catholic,No,No,private,25925 23 MILE RD,CHESTERFIELD,MI,48051,26099,99,Suburb: Large,MACOMB
Barry County Christian School,643212,,,31,,10.8,,,,,,,,0,1.85,0.92,5.55,0,90.74,0.92,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,2999 MCKEOWN RD,HASTINGS,MI,49058,26015,15,Rural: Fringe,BARRY
Battle Creek Academy,645876,,,30,,10.88,,,,,,,,0,34.69,17.34,15.3,0,28.57,4.08,,,,Coed,Other Religious,City,No,No,Seventh Day Adventists,No,No,private,480 PKWY DR,BATTLE CREEK,MI,49037,26025,25,City: Small,CALHOUN
Bedford Bible Church School,A9103417,,,5,,4.7,,,,,,,,0,0,12.5,0,0,87.5,0,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,21964 BEDFORD RD N,BATTLE CREEK,MI,49017,26025,25,Rural: Fringe,CALHOUN
Berean Baptist Academy,645297,,,7,,6.94,,,,,,,,0,0,0,0,0,96,4,,,,Coed,Other Religious,Town,No,No,Baptist,No,No,private,751 W MAUMEE ST,ADRIAN,MI,49221,26091,91,Town: Distant,LENAWEE
Beth Jacob 1-8,643187,,,126,,11.79,,,,,,,,0,0,0,0,0,100,0,,,,Coed,Other Religious,Suburban,No,No,Jewish,No,No,private,14390 W 10 MILE RD,OAK PARK,MI,48237,26125,125,Suburb: Large,OAKLAND
Bethany Christian School,645275,,,67,,9.8,,,,,,,,0,2.82,6.85,4.83,0,85.48,0,,,,Coed,Other Religious,City,No,No,Baptist,No,No,private,2601 JOHN R RD,TROY,MI,48083,26125,125,City: Small,OAKLAND
Bishop Foley Catholic High School,637209,,,312,,13.05,,,,,,,,0.32,3.84,2.56,3.84,0.64,84.29,4.48,,,,Coed,Catholic,Suburban,No,No,Roman Catholic,No,No,private,32000 CAMPBELL RD,MADISON HEIGHTS,MI,48071,26125,125,Suburb: Large,OAKLAND
Bridgeport Baptist Academy,2038112,,,23,,10,,,,,,,,,,,,,,,,,,Coed,Other Religious,Suburban,No,No,Baptist,No,No,private,2400 KING RD,SAGINAW,MI,48601,26145,145,Suburb: Midsize,SAGINAW
Brightmont Academy Birmingham,A1702039,,,16,,3.01,,,,,,,,0,0,5.26,5.26,0,78.94,10.52,,,,Coed,Nonsectarian,Suburban,No,No,Nonsectarians,No,No,private,33483 WOODWARD AVE,BIRMINGHAM,MI,48009,26125,125,Suburb: Large,OAKLAND
Brockway Christian Academy,2037582,,,9,,4.75,,,,,,,,0,0,0,0,0,89.47,10.52,,,,Coed,Other Religious,Rural,No,No,Methodist,No,No,private,10951 3 MILE RD,MORLEY,MI,49336,26107,107,Rural: Remote,MECOSTA
Brother Rice High School,A0104221,,,539,,13.21,,,,,,,,0.55,3.52,6.67,2.22,0,86.82,0.18,,,,Male_Only,Catholic,Suburban,No,No,Roman Catholic,No,No,private,7101 LAHSER RD,BLOOMFIELD HILLS,MI,48301,26125,125,Suburb: Large,OAKLAND
Cabrini High School,637898,,,244,,8.62,,,,,,,,0,5.73,1.63,16.8,0,75.81,0,,,,Coed,Catholic,Suburban,No,No,Roman Catholic,No,No,private,15305 WICK RD,ALLEN PARK,MI,48101,26163,163,Suburb: Large,WAYNE
Cadillac Heritage Christian School,2038906,,,27,,8.47,,,,,,,,0,0,4,1,0,89,6,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,1706 WRIGHT ST,CADILLAC,MI,49601,26165,165,Rural: Fringe,WEXFORD
Calhoun Christian School,A0501959,,,69,,18.84,,,,,,,,0.81,15.51,4.08,2.85,0,73.87,2.85,,,,Coed,Other Religious,City,No,No,Christian (no denomination specified),No,No,private,20 WOODROW AVE S,BATTLE CREEK,MI,49015,26025,25,City: Small,CALHOUN
Calvary Christian Schools,2037742,,,71,,12.6,,,,,,,,1.05,4.76,4.23,4.76,0,83.59,1.58,,,,Coed,Other Religious,Suburban,No,No,Christian (no denomination specified),No,No,private,5873 KENDRA RD,FRUITPORT,MI,49415,26121,121,Suburb: Midsize,MUSKEGON
Calvary Schools Of Holland,1610875,,,51,,8.71,,,,,,,,0,4.48,0,1.92,0.64,86.53,6.41,,,,Coed,Other Religious,City,No,No,Christian (no denomination specified),No,No,private,518 PLASMAN AVE,HOLLAND,MI,49423,26139,139,City: Small,OTTAWA
Capitol City Baptist School,1610864,,,4,,7.2,,,,,,,,0,0,8.33,0,0,88.88,2.77,,,,Coed,Other Religious,Suburban,No,No,Baptist,No,No,private,5100 WILLOUGHBY RD,HOLT,MI,48842,26065,65,Suburb: Large,INGHAM
Cardinal Mooney Catholic,A9103434,,,157,,10.46,,,,,,,,0,0,0,0,0.63,97.45,1.91,,,,Coed,Catholic,Suburban,No,No,Roman Catholic,No,No,private,660 S WATER ST,MARINE CITY,MI,48039,26147,147,Suburb: Small,ST. CLAIR
Caroline Education Community International Psa,A1792052,,,809,,43.03,,,,,,,,0.62,0,90.08,0.35,0,8.93,0,,,,Coed,Other Religious,City,No,No,Christian (no denomination specified),No,No,private,1629 K ST NW STE 300,WASHINGTON,DC,20006,26163,163,City: Large,WAYNE
Catholic Central High School,638621,,,991,,15.24,,,,,,,,0.3,1.41,1.41,2.82,0.3,89.6,4.13,,,,Male_Only,Catholic,City,No,No,Roman Catholic,No,No,private,27225 WIXOM RD,NOVI,MI,48374,26125,125,City: Small,OAKLAND
Cedar Creek Christian School,A9103435,,,5,,6.52,,,,,,,,0,0,0,0,0,100,0,,,,Coed,Other Religious,Rural,No,No,Baptist,No,No,private,9213 CEDAR CREEK RD,DELTON,MI,49046,26015,15,Rural: Distant,BARRY
Clonlara School,646133,,,619,,29.14,,,,,,,,0,5.97,3.01,0,0,91,0,,,,Coed,Nonsectarian,City,No,No,Nonsectarians,No,No,private,1289 JEWETT ST,ANN ARBOR,MI,48104,26161,161,City: Midsize,WASHTENAW
Community Baptist Christian School,2038134,,,26,,8.76,,,,,,,,0,0,1.28,16.66,0,82.05,0,,,,Coed,Other Religious,Suburban,No,No,Baptist,No,No,private,8331 GRATIOT RD,SAGINAW,MI,48609,26145,145,Suburb: Midsize,SAGINAW
Copper Country Christian School,A9103446,,,7,,5.86,,,,,,,,,5.88,8.82,,0,,,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,56172 CALUMET AVE,CALUMET,MI,49913,26061,61,Rural: Fringe,HOUGHTON
Cornerstone Christian School,A9103449,,,9,,8.33,,,,,,,,4.44,2.22,0,0,0,88.88,4.44,,,,Coed,Other Religious,Town,No,No,Christian (no denomination specified),No,No,private,900 S WESTERN AVE,CHEBOYGAN,MI,49721,26031,31,Town: Remote,CHEBOYGAN
Covenant Christian High School,643245,,,390,,14.82,,,,,,,,0,0.25,0,0.25,0,99.48,0,,,,Coed,Other Religious,Suburban,No,No,Calvinist,No,No,private,1401 FERNDALE AVE SW,GRAND RAPIDS,MI,49534,26081,81,Suburb: Large,KENT
De La Salle Collegiate High School,638133,,,686,,10.61,,,,,,,,0.87,3.06,9.03,1.89,1.45,82.94,0.72,,,,Male_Only,Catholic,City,No,No,Roman Catholic,No,No,private,14600 COMMON RD,WARREN,MI,48088,26099,99,City: Midsize,MACOMB
Detroit Christian Schools Of Excellence,A1501991,,,5,,5,,,,,,,,0,0,93.75,0,0,0,6.25,,,,Coed,Other Religious,City,No,No,Christian (no denomination specified),No,No,private,19370 GREENFIELD RD,DETROIT,MI,48235,26163,163,City: Large,WAYNE
Detroit Country Day School,A1501994,,,656,,7.92,,,,,,,,0.07,23.23,11.61,1.8,0.07,57.93,5.26,,,,Coed,Nonsectarian,Suburban,No,No,Nonsectarians,No,No,private,22305 W 13 MILE RD,BEVERLY HILLS,MI,48025,26125,125,Suburb: Large,OAKLAND
Detroit Country Day School,643201,,,656,,7.92,,,,,,,,0.28,8.51,4.18,3.67,0,77.34,5.98,,,,Coed,Nonsectarian,Suburban,No,No,Nonsectarians,No,No,private,22305 W 13 MILE RD,BEVERLY HILLS,MI,48025,26125,125,Suburb: Large,OAKLAND
Detroit Cristo Rey High School,A1101281,,,355,,16.9,,,,,,,,0,0,20.56,78.3,0,1.12,0,,,,Coed,Catholic,City,No,No,Roman Catholic,No,No,private,5679 W VERNOR HWY,DETROIT,MI,48209,26163,163,City: Large,WAYNE
Divine Child High School,637945,,,884,,17.33,,,,,,,,1.47,4.29,2.94,5.88,1.47,81.56,2.37,,,,Coed,Catholic,City,No,No,Roman Catholic,No,No,private,1001 N SILVERY LN,DEARBORN,MI,48128,26163,163,City: Small,WAYNE
Eton Academy,AA000474,,,84,,4.45,,,,,,,,0,2.33,10.74,2.33,0,81.3,3.27,,,,Coed,Nonsectarian,Suburban,No,No,Nonsectarians,No,No,private,1755 E MELTON RD,BIRMINGHAM,MI,48009,26125,125,Suburb: Large,OAKLAND
Everest Academy,A9303503,,,119,,11.26,,,,,,,,0,2.29,0.5,18.82,0,78.37,0,,,,Coed,Catholic,Suburban,No,No,Roman Catholic,No,No,private,5935 CLARKSTON RD,CLARKSTON,MI,48348,26125,125,Suburb: Large,OAKLAND
Factoryville Christian School,644056,,,13,,8.55,,,,,,,,1.69,5.08,0,3.38,0,89.83,0,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,33650 FACTORYVILLE RD,ATHENS,MI,49011,26149,149,Rural: Distant,ST. JOSEPH
Faith Baptist School,2036851,,,84,,10.61,,,,,,,,0,0,0.89,2.23,0,96.87,0,,,,Coed,Other Religious,Suburban,No,No,Baptist,No,No,private,7306 E ATHERTON RD,DAVISON,MI,48423,26049,49,Suburb: Large,GENESEE
Faith Christian School,645606,,,54,,11.3,,,,,,,,0,1.81,4.84,0,0,92.12,1.21,,,,Coed,Other Religious,Suburban,No,No,Baptist,No,No,private,23130 N REMICK DR,CLINTON TOWNSHIP,MI,48036,26099,99,Suburb: Large,MACOMB
Faith Christian School,A0701332,,,17,,11.09,,,,,,,,0,0,2.81,0,0,97.18,0,,,,Coed,Other Religious,Rural,No,No,Baptist,No,No,private,7455 WOODLAND RD,LAKE ODESSA,MI,48849,26015,15,Rural: Distant,BARRY
Faithway Christian Academy,A9103467,,,19,,8.02,,,,,,,,0,0,13.11,3.27,0,81.96,1.63,,,,Coed,Other Religious,Suburban,No,No,Christian (no denomination specified),No,No,private,1225 S CENTER RD,BURTON,MI,48509,26049,49,Suburb: Large,GENESEE
Farber Hebrew Day School,A0502028,,,59,,6.45,,,,,,,,0,0,1.47,0.49,0,98.03,0,,,,Coed,Other Religious,City,No,No,Jewish,No,No,private,21100 W 12 MILE RD,SOUTHFIELD,MI,48076,26125,125,City: Small,OAKLAND
Fellowship Baptist Academy,A9103468,,,21,,8.49,,,,,,,,0,0,0,11.39,0,88.6,0,,,,Coed,Other Religious,Rural,No,No,Baptist,No,No,private,8070 S BLOOMER ST,CARSON CITY,MI,48811,26117,117,Rural: Remote,MONTCALM
Fostoria Baptist Academy,A1502002,,,9,,7.27,,,,,,,,0,0,0,0,0,95.83,4.16,,,,Coed,Other Religious,Rural,No,No,Baptist,No,No,private,8933 FOSTORIA RD,FOSTORIA,MI,48435,26157,157,Rural: Distant,TUSCOLA
Fr Gabriel Richard High School,640437,,,480,,11.91,,,,,,,,0.2,5.62,1.04,8.33,0.41,79.58,4.79,,,,Coed,Catholic,Rural,No,No,Roman Catholic,No,No,private,4333 WHITEHALL DR,ANN ARBOR,MI,48105,26161,161,Rural: Fringe,WASHTENAW
Frankel Jewish Academy Of Metro Detroit,A0301852,,,125,,4.94,,,,,,,,0,0,0,0,0,100,0,,,,Coed,Other Religious,Suburban,No,No,Christian (no denomination specified),No,No,private,6600 W MAPLE RD,WEST BLOOMFIELD,MI,48322,26125,125,Suburb: Large,OAKLAND
Freedom Christian School,644205,,,11,,9.56,,,,,,,,2.27,0,4.54,0,0,93.18,0,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,9400 E BEECHER RD,PITTSFORD,MI,49271,26059,59,Rural: Distant,HILLSDALE
Genesee Academy,A9702013,,,57,,8.24,,,,,,,,0,12.32,14.69,0,0,66.82,6.16,,,,Coed,Other Religious,Rural,No,No,Islamic,No,No,private,9447 CORUNNA RD,SWARTZ CREEK,MI,48473,26049,49,Rural: Fringe,GENESEE
