teamName,teamId,team_record_count,playoff_games_played,playoff_W,playoff_L,playoff_runs_scored_total,playoff_runs_allowed_total,regular_season_games_played,regular_season_W,regular_season_L,regular_season_runs_scored_total,regular_season_runs_allowed_total,home_games_played,home_W,home_L,home_runs_scored_total,home_runs_allowed_total,away_games_played,away_W,away_L,away_runs_scored_total,away_runs_allowed_total,playoff_win_pct,regular_season_win_pct,home_win_pct,away_win_pct,playoff_run_diff_total,regular_season_run_diff_total,home_run_diff_total,away_run_diff_total,playoff_run_diff_mean,regular_season_run_diff_mean,home_run_diff_mean,away_run_diff_mean,playoff_run_diff_per_game,regular_season_run_diff_per_game,home_run_diff_per_game,away_run_diff_per_game,playoff_W_per_year,playoff_L_per_year
Ada Forest Hills Eastern,1976708,6,20,15.0,5.0,117.0,40.0,82.0,64.0,18.0,611.0,227.0,47.0,35.0,12.0,307.0,119.0,35.0,29.0,6.0,304.0,108.0,0.75,0.7804878048780488,0.7446808510638298,0.8285714285714286,77.0,384.0,188.0,196.0,3.85,4.682926829268292,4.0,5.6,3.85,4.682926829268292,4.0,5.6,2.5,0.8333333333333334
Addison,95871,10,14,4.0,10.0,50.0,84.0,164.0,61.0,101.0,868.0,1151.0,55.0,25.0,30.0,329.0,338.0,109.0,36.0,71.0,539.0,813.0,0.2857142857142857,0.3719512195121951,0.45454545454545453,0.3302752293577982,-34.0,-283.0,-9.0,-274.0,-2.4285714285714284,-1.725609756097561,-0.16363636363636364,-2.5137614678899083,-2.4285714285714284,-1.725609756097561,-0.16363636363636364,-2.5137614678899083,0.4,1.0
Adrian,95800,10,21,11.0,10.0,91.0,99.0,145.0,78.0,67.0,954.0,857.0,81.0,43.0,38.0,533.0,534.0,64.0,35.0,29.0,421.0,323.0,0.5238095238095238,0.5379310344827586,0.5308641975308642,0.546875,-8.0,97.0,-1.0,98.0,-0.38095238095238093,0.6689655172413793,-0.012345679012345678,1.53125,-0.38095238095238093,0.6689655172413793,-0.012345679012345678,1.53125,1.1,1.0
Adrian Lenawee Christian,96297,10,21,11.0,10.0,151.0,99.0,60.0,16.0,44.0,250.0,549.0,24.0,10.0,14.0,106.0,205.0,36.0,6.0,30.0,144.0,344.0,0.5238095238095238,0.26666666666666666,0.4166666666666667,0.16666666666666666,52.0,-299.0,-99.0,-200.0,2.4761904761904763,-4.983333333333333,-4.125,-5.555555555555555,2.4761904761904763,-4.983333333333333,-4.125,-5.555555555555555,1.1,1.0
Adrian Madison,95746,10,13,3.0,10.0,45.0,88.0,100.0,46.0,54.0,626.0,547.0,44.0,19.0,25.0,249.0,269.0,56.0,27.0,29.0,377.0,278.0,0.23076923076923078,0.46,0.4318181818181818,0.48214285714285715,-43.0,79.0,-20.0,99.0,-3.3076923076923075,0.79,-0.45454545454545453,1.7678571428571428,-3.3076923076923075,0.79,-0.45454545454545453,1.7678571428571428,0.3,1.0
Akron-Fairgrove,96133,7,7,0.0,7.0,14.0,106.0,41.0,11.0,30.0,159.0,435.0,23.0,9.0,14.0,113.0,212.0,18.0,2.0,16.0,46.0,223.0,0.0,0.2682926829268293,0.391304347826087,0.1111111111111111,-92.0,-276.0,-99.0,-177.0,-13.142857142857142,-6.7317073170731705,-4.304347826086956,-9.833333333333334,-13.142857142857142,-6.7317073170731705,-4.304347826086956,-9.833333333333334,0.0,1.0
Alanson ,96060,9,14,5.0,9.0,56.0,95.0,37.0,4.0,33.0,156.0,442.0,27.0,4.0,23.0,147.0,332.0,10.0,0.0,10.0,9.0,110.0,0.35714285714285715,0.10810810810810811,0.14814814814814814,0.0,-39.0,-286.0,-185.0,-101.0,-2.7857142857142856,-7.72972972972973,-6.851851851851852,-10.1,-2.7857142857142856,-7.72972972972973,-6.851851851851852,-10.1,0.5555555555555556,1.0
Alcona,2059664,4,11,7.0,4.0,77.0,57.0,39.0,17.0,22.0,275.0,272.0,22.0,10.0,12.0,155.0,169.0,17.0,7.0,10.0,120.0,103.0,0.6363636363636364,0.4358974358974359,0.45454545454545453,0.4117647058823529,20.0,3.0,-14.0,17.0,1.8181818181818181,0.07692307692307693,-0.6363636363636364,1.0,1.8181818181818181,0.07692307692307693,-0.6363636363636364,1.0,1.75,1.0
Algonac,95743,10,27,17.0,10.0,134.0,100.0,208.0,117.0,88.0,1200.0,954.0,111.0,70.0,41.0,654.0,432.0,97.0,47.0,47.0,546.0,522.0,0.6296296296296297,0.5625,0.6306306306306306,0.4845360824742268,34.0,246.0,222.0,24.0,1.2592592592592593,1.1826923076923077,2.0,0.24742268041237114,1.2592592592592593,1.1826923076923077,2.0,0.24742268041237114,1.7,1.0
Allegan,95797,10,14,4.0,10.0,41.0,75.0,165.0,37.0,127.0,551.0,1286.0,84.0,21.0,63.0,275.0,648.0,81.0,16.0,64.0,276.0,638.0,0.2857142857142857,0.22424242424242424,0.25,0.19753086419753085,-34.0,-735.0,-373.0,-362.0,-2.4285714285714284,-4.454545454545454,-4.440476190476191,-4.469135802469136,-2.4285714285714284,-4.454545454545454,-4.440476190476191,-4.469135802469136,0.4,1.0
